Bd,day,Month,year,Exp_Day,ID_Number
220602.7344,10,12,2017,31,55
34749.90479,10,12,2017,31,56
10942.53906,10,12,2017,31,57
22.34796524,10,12,2017,31,59
3596.101074,10,12,2017,31,61
595.3918076,10,12,2017,31,65
119.7619629,10,12,2017,31,66
41.5684557,10,12,2017,31,67
150841.8457,10,12,2017,31,70
1815.747375,10,12,2017,31,71
0,10,12,2017,31,74
74957.40723,10,12,2017,31,77
4084.095154,10,12,2017,31,78
306.8028641,10,12,2017,31,85
28.18466663,10,12,2017,31,86
3286.46698,10,12,2017,31,88
584.5191956,10,12,2017,31,94
10247.96509,10,12,2017,31,97
8110.473633,10,12,2017,31,99
1119.834366,10,12,2017,31,100
8153.014526,10,12,2017,31,110
63.73018265,10,12,2017,31,114
213033.8867,10,12,2017,31,118
38.65026474,10,12,2017,31,121
254.7635841,10,12,2017,31,123
4898.352,12,12,2017,33,1
2416.736,12,12,2017,33,3
296.3744,12,12,2017,33,7
42407.44,12,12,2017,33,9
0,12,12,2017,33,10
24247.04,12,12,2017,33,13
746.8432,12,12,2017,33,22
777.4152,12,12,2017,33,26
7.30292,12,12,2017,33,28
1.278888,12,12,2017,33,29
483.2048,12,12,2017,33,31
217.5184,12,12,2017,33,33
65.96176,12,12,2017,33,34
27248.88,12,12,2017,33,35
1.299984,12,12,2017,33,44
347360.8,12,12,2017,33,46
26.76416,12,12,2017,33,49
13915.52,12,12,2017,33,50
475428.8,12,12,2017,33,52
289343.2,12,12,2017,33,55
637132.8,12,12,2017,33,56
83498.4,12,12,2017,33,57
18.95056,12,12,2017,33,59
3349.424,12,12,2017,33,61
3010.488,12,12,2017,33,65
66.31808,12,12,2017,33,66
17.34992,12,12,2017,33,67
896464,12,12,2017,33,70
16288.16,12,12,2017,33,71
65.94864,12,12,2017,33,74
18458.8,12,12,2017,33,78
2325.52,12,12,2017,33,85
3.30988,12,12,2017,33,86
274204,12,12,2017,33,88
126.2168,12,12,2017,33,94
19959.6,12,12,2017,33,97
11244.32,12,12,2017,33,99
1213.032,12,12,2017,33,100
133565.6,12,12,2017,33,110
0,12,12,2017,33,114
103857.6,12,12,2017,33,118
8.61832,12,12,2017,33,121
1493.472,12,12,2017,33,123
382.1918106,14,12,2017,35,1
31357.55371,14,12,2017,35,3
591.3761139,14,12,2017,35,7
90335.51758,14,12,2017,35,9
0,14,12,2017,35,10
11733.75,14,12,2017,35,13
154.9747372,14,12,2017,35,22
80.53730965,14,12,2017,35,26
0,14,12,2017,35,28
0,14,12,2017,35,29
251.4237022,14,12,2017,35,31
81.30975723,14,12,2017,35,33
0,14,12,2017,35,34
73900.05371,14,12,2017,35,35
0,14,12,2017,35,44
232273.1445,14,12,2017,35,46
0,14,12,2017,35,49
41016.93848,14,12,2017,35,50
183984.2969,14,12,2017,35,52
562817.4609,14,12,2017,35,56
193265.7813,14,12,2017,35,57
0,14,12,2017,35,59
509.9657822,14,12,2017,35,61
5748.008423,14,12,2017,35,65
1.595655978,14,12,2017,35,66
0,14,12,2017,35,67
413551.2891,14,12,2017,35,70
53299.66797,14,12,2017,35,71
0,14,12,2017,35,74
48066.46484,14,12,2017,35,78
6424.622803,14,12,2017,35,85
64.67226982,14,12,2017,35,86
19288.55713,14,12,2017,35,88
53.45863819,14,12,2017,35,94
21085.74707,14,12,2017,35,97
